frame_pair,left_hand_move,right_hand_move,left_foot_move,right_foot_move,left_hand_to_nose,right_hand_to_nose,hip_height_change,object_change
frame_0000.jpgÅ®frame_0001.jpg,0.15343,0.08659,0.07415,0.01009,0.5877,0.22596,0.00226,1
frame_0001.jpgÅ®frame_0002.jpg,0.01334,0.08259,0.04032,0.01323,0.58582,0.13868,0.01386,0
frame_0002.jpgÅ®frame_0003.jpg,0.00762,0.00725,0.03665,0.01908,0.57017,0.12704,0.02018,1
frame_0003.jpgÅ®frame_0004.jpg,0.01303,0.02657,0.00601,0.03326,0.57805,0.13325,0.03878,0
frame_0004.jpgÅ®frame_0005.jpg,0.01605,0.03976,0.15029,0.01978,0.58238,0.12122,0.05415,1
frame_0005.jpgÅ®frame_0006.jpg,0.00923,0.07573,0.11704,0.02612,0.63907,0.09916,0.01762,1
frame_0006.jpgÅ®frame_0007.jpg,0.01743,0.05054,0.04508,0.02704,0.60743,0.0304,0.05357,1
frame_0007.jpgÅ®frame_0008.jpg,0.03686,0.01059,0.1835,0.04126,0.6383,0.03073,0.03385,1
frame_0008.jpgÅ®frame_0009.jpg,0.00265,0.01007,0.07165,0.07488,0.61284,0.05223,0.00044,1
frame_0009.jpgÅ®frame_0010.jpg,0.0097,0.03188,0.02457,0.01636,0.63598,0.01793,0.00572,1
frame_0010.jpgÅ®frame_0011.jpg,0.01456,0.15083,0.13909,0.02136,0.5724,0.12119,0.0488,0
frame_0011.jpgÅ®frame_0012.jpg,0.01383,0.35817,0.07554,0.03605,0.55171,0.47016,0.03649,0
frame_0012.jpgÅ®frame_0013.jpg,0.01688,0.02484,0.11358,0.00545,0.5595,0.50547,0.00985,0
frame_0013.jpgÅ®frame_0014.jpg,0.02379,0.02173,0.01697,0.02661,0.5592,0.50996,0.00902,0
frame_0014.jpgÅ®frame_0015.jpg,0.02386,0.01854,0.09759,0.04383,0.53904,0.49818,0.01883,1
frame_0015.jpgÅ®frame_0016.jpg,0.00417,0.01295,0.03369,0.0366,0.55682,0.50526,0.03602,1
frame_0016.jpgÅ®frame_0017.jpg,0.0188,0.00547,0.01246,0.0256,0.53828,0.50079,0.0047,1
frame_0017.jpgÅ®frame_0018.jpg,0.0164,0.01223,0.04254,0.02627,0.54894,0.50561,0.01272,1
frame_0018.jpgÅ®frame_0019.jpg,0.01482,0.01406,0.04924,0.0454,0.55987,0.51372,0.02489,1
frame_0019.jpgÅ®frame_0020.jpg,0.01207,0.00491,0.03197,0.03814,0.55733,0.49705,0.02072,1
frame_0020.jpgÅ®frame_0021.jpg,0.01172,0.35613,0.04055,0.10948,0.59307,0.17406,0.01451,0
frame_0021.jpgÅ®frame_0022.jpg,0.01603,0.16193,0.19262,0.04866,0.58662,0.06203,0.02518,1
frame_0022.jpgÅ®frame_0023.jpg,0.021,0.05907,0.02503,0.03454,0.59344,0.07504,0.01056,1
frame_0023.jpgÅ®frame_0024.jpg,0.01376,0.07459,0.01335,0.01861,0.60006,0.05666,0.01938,1
frame_0024.jpgÅ®frame_0025.jpg,0.02344,0.15369,0.00231,0.0417,0.58357,0.12809,0.01635,1
frame_0025.jpgÅ®frame_0026.jpg,0.0246,0.363,0.15858,0.00639,0.49972,0.41852,0.0197,1
frame_0026.jpgÅ®frame_0027.jpg,0.00425,0.01852,0.05742,0.02818,0.51769,0.45125,0.00608,1
frame_0027.jpgÅ®frame_0028.jpg,0.00426,0.01309,0.04812,0.04836,0.50396,0.45282,0.03741,0
frame_0028.jpgÅ®frame_0029.jpg,0.00402,0.00369,0.01321,0.02533,0.51925,0.46579,0.00918,0
frame_0029.jpgÅ®frame_0030.jpg,0.00424,0.00775,0.02687,0.03855,0.52561,0.47329,0.01453,0
frame_0030.jpgÅ®frame_0031.jpg,0.00242,0.00886,0.01719,0.02094,0.53314,0.48005,0.00224,0
frame_0031.jpgÅ®frame_0032.jpg,0.01019,0.00402,0.0328,0.01316,0.52096,0.47317,0.01128,1
frame_0032.jpgÅ®frame_0033.jpg,0.00901,0.01093,0.01412,0.01549,0.52436,0.47731,0.00641,0
frame_0033.jpgÅ®frame_0034.jpg,0.00473,0.01077,0.02481,0.03833,0.51627,0.47508,0.00833,1
